Title;Current phase;Creator;Created at
Teste Unitário André;Done;André Lubambi;2026-01-28T06:59:13Z
Automação André - Hora: 08:06:29;Inbox;André Lubambi;2026-01-28T07:06:29Z
Automação André - Hora: 08:06:30;Done;André Lubambi;2026-01-28T07:06:30Z
Automação André - Hora: 08:06:31;Done;André Lubambi;2026-01-28T07:06:31Z
Automação André - Hora: 08:06:32;Done;André Lubambi;2026-01-28T07:06:32Z
Automação André - Hora: 08:06:33;Done;André Lubambi;2026-01-28T07:06:33Z
Automação André - Hora: 08:06:34;Done;André Lubambi;2026-01-28T07:06:35Z
Automação André - Hora: 08:06:36;Done;André Lubambi;2026-01-28T07:06:36Z
Automação André - Hora: 08:06:37;Done;André Lubambi;2026-01-28T07:06:38Z
Automação André - Hora: 08:06:39;Done;André Lubambi;2026-01-28T07:06:39Z
Automação André - Hora: 08:06:40;Done;André Lubambi;2026-01-28T07:06:40Z
Automação André - Hora: 08:06:41;Done;André Lubambi;2026-01-28T07:06:41Z
Automação André - Hora: 08:06:42;Done;André Lubambi;2026-01-28T07:06:42Z
Automação André - Hora: 08:06:43;Doing;André Lubambi;2026-01-28T07:06:43Z
Automação André - Hora: 08:06:45;Doing;André Lubambi;2026-01-28T07:06:45Z
Automação André - Hora: 08:06:46;Doing;André Lubambi;2026-01-28T07:06:46Z
Automação André - Hora: 08:06:47;Doing;André Lubambi;2026-01-28T07:06:47Z
Automação André - Hora: 08:06:48;Doing;André Lubambi;2026-01-28T07:06:48Z
Automação André - Hora: 08:06:49;Done;André Lubambi;2026-01-28T07:06:49Z
Automação André - Hora: 08:06:50;Done;André Lubambi;2026-01-28T07:06:50Z
Automação André - Hora: 08:06:52;Done;André Lubambi;2026-01-28T07:06:52Z
Automação André - Hora: 08:06:53;Inbox;André Lubambi;2026-01-28T07:06:53Z
Automação André - Hora: 08:06:54;Done;André Lubambi;2026-01-28T07:06:55Z
Automação André - Hora: 08:06:56;Done;André Lubambi;2026-01-28T07:06:56Z
Automação André - Hora: 08:06:57;Inbox;André Lubambi;2026-01-28T07:06:58Z
Automação André - Hora: 08:06:59;Inbox;André Lubambi;2026-01-28T07:06:59Z
Automação André - Hora: 08:07:00;Inbox;André Lubambi;2026-01-28T07:07:00Z
Automação André - Hora: 08:07:01;Inbox;André Lubambi;2026-01-28T07:07:01Z
Automação André - Hora: 08:07:02;Done;André Lubambi;2026-01-28T07:07:02Z
Automação André - Hora: 08:07:03;Done;André Lubambi;2026-01-28T07:07:04Z
Automação André - Hora: 08:07:05;Doing;André Lubambi;2026-01-28T07:07:05Z
Automação André - Hora: 08:07:06;Doing;André Lubambi;2026-01-28T07:07:06Z
Automação André - Hora: 08:07:07;Done;André Lubambi;2026-01-28T07:07:07Z
Automação André - Hora: 08:07:08;Done;André Lubambi;2026-01-28T07:07:08Z
Automação André - Hora: 08:07:09;Inbox;André Lubambi;2026-01-28T07:07:09Z
Automação André - Hora: 08:07:10;Doing;André Lubambi;2026-01-28T07:07:11Z
Automação André - Hora: 08:07:12;Inbox;André Lubambi;2026-01-28T07:07:12Z
Automação André - Hora: 08:07:13;Inbox;André Lubambi;2026-01-28T07:07:13Z
Automação André - Hora: 08:07:14;Inbox;André Lubambi;2026-01-28T07:07:14Z
Automação André - Hora: 08:07:15;Inbox;André Lubambi;2026-01-28T07:07:15Z
Automação André - Hora: 08:07:16;Inbox;André Lubambi;2026-01-28T07:07:17Z
Automação André - Hora: 08:07:18;Inbox;André Lubambi;2026-01-28T07:07:18Z
Automação André - Hora: 08:07:19;Inbox;André Lubambi;2026-01-28T07:07:19Z
Automação André - Hora: 08:07:33;Inbox;André Lubambi;2026-01-28T07:07:33Z
Automação André - Hora: 08:07:34;Inbox;André Lubambi;2026-01-28T07:07:34Z
Automação André - Hora: 08:07:35;Inbox;André Lubambi;2026-01-28T07:07:35Z
Automação André - Hora: 08:07:36;Inbox;André Lubambi;2026-01-28T07:07:37Z
Automação André - Hora: 08:07:38;Inbox;André Lubambi;2026-01-28T07:07:38Z
Automação André - Hora: 08:07:39;Inbox;André Lubambi;2026-01-28T07:07:39Z
Automação André - Hora: 08:07:40;Inbox;André Lubambi;2026-01-28T07:07:40Z
Automação André - Hora: 08:07:41;Inbox;André Lubambi;2026-01-28T07:07:41Z
Automação André - Hora: 08:07:42;Doing;André Lubambi;2026-01-28T07:07:42Z
Automação André - Hora: 08:07:44;Doing;André Lubambi;2026-01-28T07:07:44Z
Automação André - Hora: 08:07:45;Done;André Lubambi;2026-01-28T07:07:45Z
Automação André - Hora: 08:07:46;Inbox;André Lubambi;2026-01-28T07:07:46Z
Automação André - Hora: 08:07:47;Inbox;André Lubambi;2026-01-28T07:07:47Z
Automação André - Hora: 08:07:48;Inbox;André Lubambi;2026-01-28T07:07:48Z
Automação André - Hora: 08:07:49;Inbox;André Lubambi;2026-01-28T07:07:49Z
Automação André - Hora: 08:07:50;Done;André Lubambi;2026-01-28T07:07:50Z
Automação André - Hora: 08:07:51;Inbox;André Lubambi;2026-01-28T07:07:52Z
Automação André - Hora: 08:07:53;Inbox;André Lubambi;2026-01-28T07:07:53Z
Automação André - Hora: 08:07:54;Inbox;André Lubambi;2026-01-28T07:07:54Z
Automação André - Hora: 08:07:55;Inbox;André Lubambi;2026-01-28T07:07:55Z
Automação André - Hora: 08:07:56;Inbox;André Lubambi;2026-01-28T07:07:56Z
Automação André - Hora: 08:07:57;Doing;André Lubambi;2026-01-28T07:07:58Z
Automação André - Hora: 08:07:59;Inbox;André Lubambi;2026-01-28T07:07:59Z
Automação André - Hora: 08:08:00;Inbox;André Lubambi;2026-01-28T07:08:00Z
Automação André - Hora: 08:08:01;Doing;André Lubambi;2026-01-28T07:08:01Z
Automação André - Hora: 08:08:02;Doing;André Lubambi;2026-01-28T07:08:02Z
Automação André - Hora: 08:08:03;Doing;André Lubambi;2026-01-28T07:08:04Z
Automação André - Hora: 08:08:05;Doing;André Lubambi;2026-01-28T07:08:05Z
Automação André - Hora: 08:08:06;Doing;André Lubambi;2026-01-28T07:08:06Z
Automação André - Hora: 08:08:07;Doing;André Lubambi;2026-01-28T07:08:07Z
Automação André - Hora: 08:08:09;Doing;André Lubambi;2026-01-28T07:08:09Z
Automação André - Hora: 08:08:10;Doing;André Lubambi;2026-01-28T07:08:10Z
Automação André - Hora: 08:08:11;Doing;André Lubambi;2026-01-28T07:08:11Z
Automação André - Hora: 08:08:12;Doing;André Lubambi;2026-01-28T07:08:13Z
Automação André - Hora: 08:08:14;Doing;André Lubambi;2026-01-28T07:08:14Z
Automação André - Hora: 08:08:15;Doing;André Lubambi;2026-01-28T07:08:15Z
Automação André - Hora: 08:08:16;Doing;André Lubambi;2026-01-28T07:08:16Z
Automação André - Hora: 08:08:17;Doing;André Lubambi;2026-01-28T07:08:17Z
Automação André - Hora: 08:08:18;Doing;André Lubambi;2026-01-28T07:08:18Z
Automação André - Hora: 08:08:19;Doing;André Lubambi;2026-01-28T07:08:20Z
Automação André - Hora: 08:08:21;Doing;André Lubambi;2026-01-28T07:08:21Z
Automação André - Hora: 08:08:22;Done;André Lubambi;2026-01-28T07:08:22Z
Automação André - Hora: 08:08:23;Doing;André Lubambi;2026-01-28T07:08:23Z
Automação André - Hora: 08:08:24;Done;André Lubambi;2026-01-28T07:08:24Z
Automação André - Hora: 08:08:25;Done;André Lubambi;2026-01-28T07:08:26Z
Automação André - Hora: 08:08:27;Done;André Lubambi;2026-01-28T07:08:27Z
Automação André - Hora: 08:08:28;Doing;André Lubambi;2026-01-28T07:08:28Z
Automação André - Hora: 08:08:29;Doing;André Lubambi;2026-01-28T07:08:29Z
Automação André - Hora: 08:08:30;Inbox;André Lubambi;2026-01-28T07:08:30Z
Automação André - Hora: 08:08:31;Inbox;André Lubambi;2026-01-28T07:08:32Z
Automação André - Hora: 08:08:33;Inbox;André Lubambi;2026-01-28T07:08:33Z
Automação André - Hora: 08:08:34;Inbox;André Lubambi;2026-01-28T07:08:34Z
Automação André - Hora: 08:08:35;Inbox;André Lubambi;2026-01-28T07:08:35Z
Automação André - Hora: 08:08:37;Inbox;André Lubambi;2026-01-28T07:08:37Z
Automação André - Hora: 08:08:38;Inbox;André Lubambi;2026-01-28T07:08:38Z
Automação André - Hora: 08:08:39;Inbox;André Lubambi;2026-01-28T07:08:39Z
Automação André - Hora: 08:08:40;Inbox;André Lubambi;2026-01-28T07:08:40Z
Automação André - Hora: 08:08:41;Inbox;André Lubambi;2026-01-28T07:08:42Z
Automação André - Hora: 08:08:43;Inbox;André Lubambi;2026-01-28T07:08:43Z
Automação André - Hora: 08:08:44;Inbox;André Lubambi;2026-01-28T07:08:44Z
Automação André - Hora: 08:08:45;Inbox;André Lubambi;2026-01-28T07:08:45Z
Automação André - Hora: 08:08:46;Inbox;André Lubambi;2026-01-28T07:08:47Z
Automação André - Hora: 08:08:48;Inbox;André Lubambi;2026-01-28T07:08:48Z
Automação André - Hora: 08:08:49;Inbox;André Lubambi;2026-01-28T07:08:49Z
Automação André - Hora: 08:10:34;Inbox;André Lubambi;2026-01-28T07:10:35Z
Automação André - Hora: 08:10:36;Inbox;André Lubambi;2026-01-28T07:10:36Z
Automação André - Hora: 08:10:37;Inbox;André Lubambi;2026-01-28T07:10:37Z
Automação André - Hora: 08:10:38;Inbox;André Lubambi;2026-01-28T07:10:39Z
Automação André - Hora: 08:10:40;Inbox;André Lubambi;2026-01-28T07:10:40Z
Automação André - Hora: 08:10:41;Inbox;André Lubambi;2026-01-28T07:10:42Z
Automação André - Hora: 08:10:43;Inbox;André Lubambi;2026-01-28T07:10:43Z
Automação André - Hora: 08:10:44;Inbox;André Lubambi;2026-01-28T07:10:44Z
Automação André - Hora: 08:10:45;Inbox;André Lubambi;2026-01-28T07:10:45Z
Automação André - Hora: 08:10:46;Inbox;André Lubambi;2026-01-28T07:10:47Z
Automação André - Hora: 08:10:48;Inbox;André Lubambi;2026-01-28T07:10:48Z
Automação André - Hora: 08:10:49;Inbox;André Lubambi;2026-01-28T07:10:49Z
Automação André - Hora: 08:10:50;Inbox;André Lubambi;2026-01-28T07:10:50Z
Automação André - Hora: 08:10:51;Inbox;André Lubambi;2026-01-28T07:10:52Z
Automação André - Hora: 08:10:53;Inbox;André Lubambi;2026-01-28T07:10:53Z
Automação André - Hora: 08:10:54;Inbox;André Lubambi;2026-01-28T07:10:54Z
Automação André - Hora: 08:10:55;Inbox;André Lubambi;2026-01-28T07:10:55Z
Automação André - Hora: 08:10:56;Inbox;André Lubambi;2026-01-28T07:10:57Z
Automação André - Hora: 08:10:58;Inbox;André Lubambi;2026-01-28T07:10:58Z
Automação André - Hora: 08:10:59;Inbox;André Lubambi;2026-01-28T07:10:59Z
Automação André - Hora: 08:11:00;Inbox;André Lubambi;2026-01-28T07:11:00Z
Automação André - Hora: 08:11:01;Inbox;André Lubambi;2026-01-28T07:11:02Z
Automação André - Hora: 08:11:03;Inbox;André Lubambi;2026-01-28T07:11:03Z
Automação André - Hora: 08:11:04;Inbox;André Lubambi;2026-01-28T07:11:04Z
Automação André - Hora: 08:11:05;Inbox;André Lubambi;2026-01-28T07:11:06Z
Automação André - Hora: 08:11:07;Inbox;André Lubambi;2026-01-28T07:11:07Z
Automação André - Hora: 08:11:08;Inbox;André Lubambi;2026-01-28T07:11:08Z
Automação André - Hora: 08:11:09;Inbox;André Lubambi;2026-01-28T07:11:10Z
Automação André - Hora: 08:11:11;Inbox;André Lubambi;2026-01-28T07:11:11Z
Automação André - Hora: 08:11:12;Inbox;André Lubambi;2026-01-28T07:11:12Z
Automação André - Hora: 08:11:13;Inbox;André Lubambi;2026-01-28T07:11:14Z
Automação André - Hora: 08:11:15;Inbox;André Lubambi;2026-01-28T07:11:15Z
Automação André - Hora: 08:11:16;Inbox;André Lubambi;2026-01-28T07:11:16Z
Automação André - Hora: 08:11:17;Inbox;André Lubambi;2026-01-28T07:11:18Z
Automação André - Hora: 08:11:19;Inbox;André Lubambi;2026-01-28T07:11:19Z
Automação André - Hora: 08:11:20;Inbox;André Lubambi;2026-01-28T07:11:20Z
Automação André - Hora: 08:11:21;Inbox;André Lubambi;2026-01-28T07:11:21Z
Automação André - Hora: 08:11:22;Inbox;André Lubambi;2026-01-28T07:11:22Z
Automação André - Hora: 08:11:23;Inbox;André Lubambi;2026-01-28T07:11:24Z
Automação André - Hora: 08:11:25;Inbox;André Lubambi;2026-01-28T07:11:25Z
Automação André - Hora: 08:11:26;Inbox;André Lubambi;2026-01-28T07:11:26Z
Automação André - Hora: 08:11:27;Inbox;André Lubambi;2026-01-28T07:11:28Z
Automação André - Hora: 08:11:29;Inbox;André Lubambi;2026-01-28T07:11:29Z
Automação André - Hora: 11:14:20;Inbox;André Lubambi;2026-01-28T10:14:21Z
Automação André - Hora: 11:14:22;Inbox;André Lubambi;2026-01-28T10:14:22Z
Automação André - Hora: 11:14:23;Inbox;André Lubambi;2026-01-28T10:14:23Z
Automação André - Hora: 11:14:24;Inbox;André Lubambi;2026-01-28T10:14:25Z
Automação André - Hora: 11:14:26;Inbox;André Lubambi;2026-01-28T10:14:26Z
Automação André - Hora: 11:14:27;Inbox;André Lubambi;2026-01-28T10:14:27Z
Automação André - Hora: 11:14:28;Inbox;André Lubambi;2026-01-28T10:14:29Z
Automação André - Hora: 11:14:30;Inbox;André Lubambi;2026-01-28T10:14:30Z
Automação André - Hora: 11:14:31;Inbox;André Lubambi;2026-01-28T10:14:31Z
Automação André - Hora: 11:14:32;Inbox;André Lubambi;2026-01-28T10:14:32Z
Automação André - Hora: 11:14:33;Inbox;André Lubambi;2026-01-28T10:14:34Z
Automação André - Hora: 11:14:35;Inbox;André Lubambi;2026-01-28T10:14:35Z
Automação André - Hora: 11:14:36;Inbox;André Lubambi;2026-01-28T10:14:36Z
Automação André - Hora: 11:14:37;Inbox;André Lubambi;2026-01-28T10:14:38Z
Automação André - Hora: 11:14:38;Inbox;André Lubambi;2026-01-28T10:14:39Z
Automação André - Hora: 11:14:40;Inbox;André Lubambi;2026-01-28T10:14:40Z
Automação André - Hora: 11:14:41;Inbox;André Lubambi;2026-01-28T10:14:42Z
Automação André - Hora: 11:14:43;Inbox;André Lubambi;2026-01-28T10:14:43Z
Automação André - Hora: 11:14:44;Inbox;André Lubambi;2026-01-28T10:14:44Z
Automação André - Hora: 11:14:45;Inbox;André Lubambi;2026-01-28T10:14:45Z
Automação André - Hora: 11:14:46;Inbox;André Lubambi;2026-01-28T10:14:47Z
Automação André - Hora: 11:14:48;Inbox;André Lubambi;2026-01-28T10:14:48Z
Automação André - Hora: 11:14:49;Inbox;André Lubambi;2026-01-28T10:14:49Z
Automação André - Hora: 11:14:51;Inbox;André Lubambi;2026-01-28T10:14:51Z
Automação André - Hora: 11:14:52;Inbox;André Lubambi;2026-01-28T10:14:52Z
Automação André - Hora: 11:14:53;Inbox;André Lubambi;2026-01-28T10:14:53Z
Automação André - Hora: 11:14:54;Inbox;André Lubambi;2026-01-28T10:14:55Z
Automação André - Hora: 11:14:56;Inbox;André Lubambi;2026-01-28T10:14:56Z
Automação André - Hora: 11:14:57;Inbox;André Lubambi;2026-01-28T10:14:57Z
Automação André - Hora: 11:14:58;Inbox;André Lubambi;2026-01-28T10:14:58Z
Automação André - Hora: 11:14:59;Inbox;André Lubambi;2026-01-28T10:15:00Z
Automação André - Hora: 11:15:01;Inbox;André Lubambi;2026-01-28T10:15:01Z
Automação André - Hora: 11:15:02;Inbox;André Lubambi;2026-01-28T10:15:02Z
Automação André - Hora: 11:15:03;Inbox;André Lubambi;2026-01-28T10:15:04Z
Automação André - Hora: 11:15:05;Inbox;André Lubambi;2026-01-28T10:15:05Z
Automação André - Hora: 11:15:06;Inbox;André Lubambi;2026-01-28T10:15:07Z
Automação André - Hora: 11:15:08;Inbox;André Lubambi;2026-01-28T10:15:08Z
Automação André - Hora: 11:15:09;Inbox;André Lubambi;2026-01-28T10:15:09Z
Automação André - Hora: 11:15:10;Inbox;André Lubambi;2026-01-28T10:15:11Z
Automação André - Hora: 11:15:12;Inbox;André Lubambi;2026-01-28T10:15:12Z
Automação André - Hora: 11:15:13;Inbox;André Lubambi;2026-01-28T10:15:14Z
Automação André - Hora: 11:15:15;Inbox;André Lubambi;2026-01-28T10:15:15Z
Automação André - Hora: 11:15:16;Inbox;André Lubambi;2026-01-28T10:15:17Z
Automação André - Hora: 11:15:18;Inbox;André Lubambi;2026-01-28T10:15:18Z
Automação André - Hora: 11:15:19;Inbox;André Lubambi;2026-01-28T10:15:19Z
Automação André - Hora: 11:15:20;Inbox;André Lubambi;2026-01-28T10:15:21Z
Automação André - Hora: 11:15:22;Inbox;André Lubambi;2026-01-28T10:15:22Z
Automação André - Hora: 11:15:23;Inbox;André Lubambi;2026-01-28T10:15:23Z
Automação André - Hora: 11:15:24;Inbox;André Lubambi;2026-01-28T10:15:25Z
Automação André - Hora: 11:15:26;Inbox;André Lubambi;2026-01-28T10:15:26Z
